Adresse,Departement,Latitude,Longitude,Soiree,Thematique,Description,Forme,Date,Horaire,Lieu,Organisateurs,Contact,Lien,Prix,Photo
14 Rue Claude Deverchère 42000 Saint-Étienne,Loire,45.433292,4.380227,Soiree 11,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Exposition,22/11/2020,17:00:00,Amicale Laïque Beaubrun,Amicale Laïque Beaubrun,email@gmail.com,http://traces-migrations.org/,,
45 Pl de Montmain 73400 Ugine,Savoie,45.753743,6.41835,Soiree 12,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,23/11/2020,20:30:00,Amis du Cinema,Amis du Cinema,email@gmail.com,http://traces-migrations.org/,,
1 Route d'Ennezat 63200 Riom,Auvergne,45.894379,3.124265,Soiree 13,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,24/11/2020,20:30:00,AMTA,AMTA,email@gmail.com,http://traces-migrations.org/,,
6 Rue Raoul Blanchard 38000 Grenoble,Isere,45.190189,5.730829,Soiree 14,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",21/11/2020,17:00:00,Anagramme,Anagramme,email@gmail.com,http://traces-migrations.org/,,
1 Boulevard de Lancelot 07000 Privas,Ardèche,44.731488,4.599856,Soiree 15,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,10/11/2020,20:30:00,Ardèche Afrique Solidaires,Ardèche Afrique Solidaires,email@gmail.com,http://traces-migrations.org/,,
16 Route de l'Echelette 07170 Lussas,Ardèche,44.611747,4.472327,Soiree 16,Travail,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",02/12/2020,20:30:00,Ardèche Images,Ardèche Images,email@gmail.com,http://traces-migrations.org/,,
6 Rue Berthe de Boissieux 38000 Grenoble,Isere,45.184718,5.724798,Soiree 17,Habitat,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,24/11/2020,17:00:00,Armenie Echange et Promotion (AEP),Armenie Echange et Promotion (AEP),email@gmail.com,http://traces-migrations.org/,,
Pl Saint Francois de Sales 74000 Annecy,Haute savoie,45.898888,6.127672,Soiree 18,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Exposition,,20:30:00,Arteppes,Arteppes,email@gmail.com,http://traces-migrations.org/,,
12 Rue Paul Pioda 01000 Bourg-en-Bresse,Ain,46.207255,5.225708,Soiree 19,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,10/11/2020,20:30:00,Artisans du Monde / Festival des Solidarités,Artisans du Monde / Festival des Solidarités,email@gmail.com,http://traces-migrations.org/,,
308 Avenue Andrei Sakharov 69009 Lyon,Rhone,45.788375,4.800571,Soiree 20,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,02/12/2020,17:00:00,ArTpenteurs,ArTpenteurs,email@gmail.com,http://traces-migrations.org/,,
4 Rue Paul Marechal 01100 Oyonnax,Ain,46.260378,5.656321,Soiree 21,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",24/11/2020,20:30:00,Association Franco-Marocaine,Association Franco-Marocaine,email@gmail.com,http://traces-migrations.org/,,
21 R Georges Lamarque 73200 Albertville,Savoie,45.668161,6.377376,Soiree 22,Habitat,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,,20:30:00,Association Solidarité Territoire d'Albertville (ASTA),Association Solidarité Territoire d'Albertville (ASTA),email@gmail.com,http://traces-migrations.org/,,
Rue Saint Martin 26000 Valence,Drôme/Ardèche,44.933039,4.887698,Soiree 23,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",10/11/2020,17:00:00,ASSOFITAL,ASSOFITAL,email@gmail.com,http://traces-migrations.org/,,
30 Boulevard Marius Vivier-merle 69003 Lyon,Rhone,45.760248,4.857864,Soiree 24,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,02/12/2020,20:30:00,Bibliothèque Municipale de Lyon,Bibliothèque Municipale de Lyon,email@gmail.com,http://traces-migrations.org/,,
5 Rue sous les Augustins 63000 Clermont-Ferrand,Auvergne,45.78087,3.083592,Soiree 25,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Exposition,24/11/2020,20:30:00,Café lecture les Augustes,Café lecture les Augustes,email@gmail.com,http://traces-migrations.org/,,
Rue Saint Eusèbe 69003 Lyon,Rhone,45.7564,4.872727,Soiree 26,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,,17:00:00,Caravane des dix mots,Caravane des dix mots,email@gmail.com,http://traces-migrations.org/,,
2 Boulevard Irene Joliot Curie 01000 Bourg-en-Bresse,Ain,46.209573,5.232151,Soiree 27,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,10/11/2020,20:30:00,CENT POUR un toit 01,CENT POUR un toit 01,email@gmail.com,http://traces-migrations.org/,,
13 Avenue Marcel Paul 69200 Vénissieux,Rhone,45.700001,4.881545,Soiree 28,Travail,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",02/12/2020,20:30:00,Centre Associatif Boris Vian (CABV),Centre Associatif Boris Vian (CABV),email@gmail.com,http://traces-migrations.org/,,
88 Cours de Verdun 01100 Oyonnax,Ain,46.261013,5.648423,Soiree 29,Habitat,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,24/11/2020,17:00:00,Centre culturel aragon,Centre culturel aragon,email@gmail.com,http://traces-migrations.org/,,
20 Rue des 4 Passeports 63000 Clermont-Ferrand,Auvergne,45.779527,3.07853,Soiree 30,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",,20:30:00,Centre culturel Jules-Isaac,Centre culturel Jules-Isaac,email@gmail.com,http://traces-migrations.org/,,
Le Chapeau Rouge 63200 Riom,,45.872258,3.136123,Soiree 31,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,10/11/2020,20:30:00,Centre Culturel Le Bief,Centre Culturel Le Bief,email@gmail.com,http://traces-migrations.org/,,
32 Rue du 24 Avril 1915 69150 Décines-Charpieu,Rhone,45.768399,4.94696,Soiree 32,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Exposition,02/12/2020,17:00:00,Centre national de la mémoire arménienne (CNMA),Centre national de la mémoire arménienne (CNMA),email@gmail.com,http://traces-migrations.org/,,
12 Rue Kleber 63100 Clermont-Ferrand,Auvergne,45.792857,3.113794,Soiree 33,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,24/11/2020,20:30:00,Centre Regional d'art dramatique,Centre Regional d'art dramatique,email@gmail.com,http://traces-migrations.org/,,
57 Avenue Amedee Mercier 01000 Bourg-en-Bresse,Ain,46.203454,5.243618,Soiree 34,Habitat,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,,20:30:00,Centre Social Amédée Mercier,Centre Social Amédée Mercier,email@gmail.com,http://traces-migrations.org/,,
5 Rue Bonnefoi 69003 Lyon,Rhone,45.755555,4.84558,Soiree 35,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",10/11/2020,17:00:00,Centre Social Bonnefoi,Centre Social Bonnefoi,email@gmail.com,http://traces-migrations.org/,,
Rue Pierre-joseph Proudhon 69100 Villeurbanne,Rhone,45.773621,4.888865,Soiree 36,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,02/12/2020,20:30:00,Centre Social Buers,Centre Social Buers,email@gmail.com,http://traces-migrations.org/,,
3 Rue Gambetta 42500 Le Chambon-Feugerolles,Loire,45.396314,4.325814,Soiree 37,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",24/11/2020,20:30:00,Centre Social Cré-Actifs,Centre Social Cré-Actifs,email@gmail.com,http://traces-migrations.org/,,
85 Avenue de l'Europe 69140 Rillieux-la-Pape,Rhone,45.818824,4.904889,Soiree 38,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,,17:00:00,Centre Social des semailles,Centre Social des semailles,email@gmail.com,http://traces-migrations.org/,,
23 Rue Jules Romains 69120 Vaulx-en-Velin,Rhone,45.778366,4.919371,Soiree 39,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Exposition,10/11/2020,20:30:00,Centre Social Grand Vire,Centre Social Grand Vire,email@gmail.com,http://traces-migrations.org/,,
Rue André Werth 69120 Vaulx-en-Velin,Rhone,45.788609,4.91338,Soiree 40,Travail,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,02/12/2020,20:30:00,Centre Social Lévy,Centre Social Lévy,email@gmail.com,http://traces-migrations.org/,,
1 Place du Marechal Leclerc 01100 Oyonnax,Ain,46.256902,5.644024,Soiree 41,Habitat,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,24/11/2020,17:00:00,Centre Social Ouest,Centre Social Ouest,email@gmail.com,http://traces-migrations.org/,,
5 Rue Aristide Bruant 69200 Vénissieux,Rhone,45.696259,4.870273,Soiree 42,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",,20:30:00,Centres sociaux des Minguettes,Centres sociaux des Minguettes,email@gmail.com,http://traces-migrations.org/,,
277 Route de Goutelas 42130 Marcoux,Loire,45.722003,4.008528,Soiree 43,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,10/11/2020,20:30:00,Château de Goutelas,Château de Goutelas,email@gmail.com,http://traces-migrations.org/,,
2 Place de la Mairie 38550 Clonas-sur-Varèze,Drome,45.414289,4.790491,Soiree 44,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",02/12/2020,17:00:00,Cie Candide,Cie Candide,email@gmail.com,http://traces-migrations.org/,,
Clos des Chartreux 38210 Tullins,Isere,45.302516,5.486947,Soiree 45,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,24/11/2020,20:30:00,Cie Creabulle,Cie Creabulle,email@gmail.com,http://traces-migrations.org/,,
1 Rue Président Carnot 38000 Grenoble,Isere,45.191964,5.731279,Soiree 46,Habitat,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Exposition,,20:30:00,Cie du Jour,Cie du Jour,email@gmail.com,http://traces-migrations.org/,,
2 Rue Fernand Rey 69001 Lyon,Rhone,45.769699,4.829214,Soiree 47,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,10/11/2020,17:00:00,Cie Essentiel Ephémère,Cie Essentiel Ephémère,email@gmail.com,http://traces-migrations.org/,,
12 Rue Pizay 69001 Lyon,Rhone,45.766869,4.835235,Soiree 48,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,02/12/2020,20:30:00,Cie Les Enfants Sauvages,Cie Les Enfants Sauvages,email@gmail.com,http://traces-migrations.org/,,
