Latitude,Longitude,Departement,Titre,Thematique,Forme,Dates,Semaine du,Horaire,Lieu,Organisateurs,Informations,Lien,Prix,Adresse,Code postal,Ville,,Site Traces
,,,Savoirs en mouvement,,Exposition et ateliers,Jeu 29 oct,Semaine du 26 octobre,De 14h30 à 17h30,Forum Réfugiés - Cosi,QIMEL et Forum Réugiés-Cosi,contact@qimel.com,www.qimel.com,"Entrée libre, sur réservation",,,,,
45.77842260000001,4.837246599999999,Rhone,Bienvenue au Collège sans frontières Maurice Scève,Expression artistique des personnes migrantes,"Projection documentaire, Concert",Ven 30 oct,Semaine du 26 octobre,20h,Collège Maurice Scève,Collectif soutien et habitants du collège Maurice Scève,severine.gedzelman@ouvaton.org,,Prix libre au bénéfice des jeunes du collège,rue Louis Thévenet,69001,Lyon,,
45.7598334,4.8837963,Rhone,"Mémoires d’immigrés, Yasmina Benguigui",20 ans du réseau Traces,Projection,Sam 31 oct,Semaine du 26 octobre,Dès 15h30,Le Rize,Le Rize et le réseau Traces,Accueil renseignements 04 37 57 17 17,lerize.villeurbanne.fr,"Entrée libre, sur réservation",23 Rue Valentin Hauy,69100,Villeurbanne,,
45.764043,4.835659,Rhone,Festival INTERFERENCES « Cinéma et Sciences »,,"Projection, Débat",Mer 4 au sam 14 nov,"Semaine du 02 novembre, Semaine du 09 novembre",,,SCÈNES PUBLIQUES,,www.lacitedoc.com/festival-interferences,,,,Lyon,,
45.8223148,4.910175199999999,Rhone,Djazia Satour & Yiazaal,Expression artistique des personnes migrantes,Concert,Jeu 5 nov,Semaine du 02 novembre,20h,Espace 140,Transmetteurs Rillieux-la-Pape,transmetteurs@rillieuxlapape.fr,www.transmetteurs.fr,10 € / 15 €,291 rue d’Athènes,69140,Rillieux-la-Pape,,
45.7598334,4.8837963,Rhone,INSTRUMENTS VOYAGEURS,Expression artistique des personnes migrantes,Exposition,Jeu 5 nov 2020 au 25 sept 2021,"Semaine du 02 novembre, Semaine du 09 novembre, Semaine du 16 novembre, Semaine du 23 novembre, Semaine du 30 novembre",,Le Rize,"Le Rize, le Centre des Musiques Traditionnelles Rhône Alpes et l’École Nationale de Musique de Villeurbanne",Accueil renseignements : 04 37 57 17 17,lerize.villeurbanne.fr,"Entrée libre, sur réservation",23 rue Valentin Hauy,69100,Villeurbanne,,
45.7465784,4.8266227,Rhone,Migrants catholiques dans une société plurielle,Expression artistique des personnes migrantes,"Conférence, Table ronde",Jeu 5 & ven 6 nov,Semaine du 02 novembre,De 9h à 17h30,Université Catholique de Lyon (Pôle Carnot),Université catholique de Lyon. Valérie Aubourg et Cécile Campergue.,,www.relimig.ucly.fr,Ouvert au public,10 Place des Archives,69002,Lyon,,
,,Rhone,« Les voix des personnes concernées. Échanges et réflexions pour contribuer à une société inclusive »,Santé mentale,Projection,Jeu 5 & Ven 6 nov,Semaine du 02 novembre,10h,Centre Hospitalier le Vinatier,le collectif « Tou∙te∙s concerné∙e∙s ! » et l’Orspere-Samdarra,orspere-samdarra@ch-le-vinatier.fr,www.ch-le-vinatier.fr/orspere-samdarra,,95 Boulevard Pinel,,Bron,,
,,Rhone,"Causons, des migrations",Langues,"Conférence, Table ronde",Ven 6 nov,Semaine du 02 novembre,,,Causons,lyon@causons.org,causons.org,Prix libre,13 bis rue Girié,69003,Lyon,,
45.759949,4.8312788,Rhone,Syndicalisation et luttes des femmes de ménage et agents d’entretien,"Travail, Luttes","Conférence, Table ronde, Atelier, Formation
",Sam 7 nov,Semaine du 02 novembre,15h,Théâtre de Célestins,Le Collectif X et l'Harmonie Communale,04 72 77 40 00,www.echosdelafabrique.net,Gratuit – sur réservation,4 rue Charles Dullin,69002,Lyon,,
45.75793160000001,4.825008899999999,Rhone,L’ALGERIE A CŒUR,Expression artistique des personnes migrantes,"Lecture, Théâtre",Sam 7 nov,Semaine du 02 novembre,Deux séances à 16h et 20h,"Maison des Passages","Passeurs de Mémoires, Coup de Soleil Auvergne Rhône-Alpes et la Maison des Passages",maisondespassages@orange.fr – 04 78 42 19 04,maisondespassages.org,12 € - réservation obligatoire,44 rue Saint-Georges,69005,Lyon,,
45.7555924,4.8456701,Rhone,« Corps en Grève »,"Travail, Luttes","Rencontre, Exposition","Mar 10 nov, (expo du 12 oct au 10 nov)","Semaine du 12 octobre, Semaine du 19 octobre, Semaine du 26 octobre, Semaine du 02 novembre, Semaine du 09 novembre",17h,Centre Social Bonnefoi,Centre Social Bonnefoi,culture@csbonnefoi.fr,www.csbonnefoi.fr,Gratuit,5 rue Bonnefoi,69003,Lyon,,
45.736846,4.8200677,Rhone,Frontières et migrations entre le Mexique et les USA,Frontières,"Conférence, Table ronde",Jeu 12 nov,Semaine du 09 novembre,18h30,École urbaine de Lyon,,ecole.urbaine@universite-lyon.fr,,Entrée libre sur réservation,71 Quai Perrache,69002,Lyon,,
45.7451126,4.8478314,Rhone,Restez chez vous ? Quid de la crise sanitaire dans les quartiers populaires ?,"Discriminations, Solidarités, Quartiers populaires","Conférence, Table ronde",Jeu 12 nov,Semaine du 09 novembre,18h,MJC Jean Macé,réseau Traces et la MJC Jean Macé,04 78 58 73 10 – culture@mjcjeanmace.fr,www.mjcjeanmace.com,Gratuit sur réservation,38 Rue Camille Roy,69007,Lyon,,
,,Rhone,« Vaulx-en-Velin : histoires et mémoires de luttes »,,"Films, Exposition, Débat",Les 13 et 14 nov,Semaine du 09 novembre,De 9h à 16h,Cinéma Les Amphis,"Canuts Solidarité, Cinéma Les amphis, L’Écho des cités",Téléphone : 04 78 79 17 29,https://vaulx-en-velin.net/sortir/culture/cinema-les-amphis/,,,,,,
45.7469504,4.8275673,Rhone,MAGHREB K7 CLUB,Expression artistique des personnes migrantes,"Conférence, Table ronde, Concert",Mar 17 nov,Semaine du 16 novembre,19h30,Périscope,"Le Périscope, le réseau Traces, Sofa Records, Bongo Joe, et le CMTRA.",periscope-lyon.com,periscope.communication@gmail.com,Gratuit,13 rue Delandine,69002,Lyon,,
45.761685,4.8859622,Rhone,"Amphi Z - On vit ici, on reste ici ! ",Habitat,"Projection, Débat",Mer 18 nov,Semaine du 16 novembre,19h30,LA Balise 46,"LA Balise 46, Tillandsia, la MJC de Villeurbanne",04 78 84 84 83 – contact@mjc-villeurbanne.org,tillandsia-video.com,Prix libre – réservation recommandée,46 Cours du Dr Jean Damidot,69100,Villeurbanne,,
,,,"Les oiseaux migrateurs, à la découverte de la notion de frontières",Frontières,"Conférence, Jeune public",Mer 18 nov,Semaine du 16 novembre,15h,Musée d’art contemporain,Musée d’art contemporain,publics@mac-lyon.com / 04 72 69 17 19,https://www.mac-lyon.com/fr,5 € enfants/ 6 € ou 9 € adultes,,,,,
,,,Histoire(s) de musulmans et de juifs du Maghreb,,"Projection, Débat",Jeu 19 nov,Semaine du 16 novembre,19h,Mairie du 1er,"Alberto Crespo, réalisateur - Claire Marynower, Laboratoire Pacte (Univ. Grenoble Alpes), Coup de Soleil Auvergne-Rhône-Alpes","claire.marynower@iepg.fr, coupdesoleilra@gmail.com",,Gratuit,,,,,
45.7640568,4.827593999999999,Rhone,Les foyers de travailleurs immigrés à l'épreuve du temps (et de la crise sanitaire) ,"20 ans du réseau Traces, Travail, Habitat","Conférence, Table ronde",Jeu 19 nov,Semaine du 16 novembre,19h,Musées Gadagne,le réseau Traces et le Musée Gadagne,04 78 42 03 61,www.gadagne.musees.lyon.fr,Gratuit,1 Place du Petit Collège,69005,Lyon,,
45.737232,4.8685595,Rhone,"Préserver l’hospitalité, Usages et appropriations des lieux d’accueil en métropole lyonnaise",Hospitalité,"Conférence, Table ronde",Ven 20 nov,Semaine du 16 novembre,14h30,Auditorium de la médiathèque du Bachut,LALCA - Laboratoire d’Architectes-Lutteurs Chercheurs-Artistes.,contact@lalca.org,www.lalca.org,Gratuit,2 place du 11 novembre 1918,69008,Lyon,,
45.779221,4.878559,Rhone,Être une ville accueillante pour les personnes exilées,Hospitalité,"Conférence, Table ronde",Ven 20 nov,Semaine du 16 novembre,18h,CCO Jean-Pierre Lachaize,"le réseau Traces, La Cimade/Festival Migrant’Scène, le CCO Jean-Pierre Lachaize",vieassociative@cco-villeurbanne.org,www.cco-villeurbanne.org/ville-accueillante-pour-les-personnes-exilees,Gratuit,39 rue Georges Courteline,69100,Villeurbanne,,
45.775232,4.818003099999999,Rhone,"MIGRATIONS, des frontières à l'hospitalité, questionner les mobilités et réinventer les imaginaires","Hospitalité, Frontières","Conférence, Table ronde",Sam 21 nov,Semaine du 16 novembre,De 15h à 19h (attention ça va bouger),Villa Gillet,"Villa Gillet, dans le cadre du festival MODE D'EMPLOI, réseau Traces et Migrant’Scène.",,www.villagillet.net,,25 Rue Chazière,69004,Lyon,,
45.5844895,4.7759863,Rhone,Frontières et espaces vécus,"Habitat, Frontières","Rencontre, Débat",Sam 21 nov,Semaine du 16 novembre,16h,Salle Rosa Parks,Stimultania - Pôle de photographie,matilde.brugni@stimultania.org,www.stimultania.org,Gratuit,parc de la Maison du Fleuve Rhône,69700,Givors,,
45.7315386,4.869616499999999,Rhone,Projets culturels : langue française et diversité linguistique,Langues,"Atelier, Formation",Lun 23 nov et jeu 3 déc,"Semaine du 23 novembre, Semaine du 30 novembre",,8e arrondissement,Les arTpenteurs et Filigrane,contact@les-artpenteurs.com / 04 78 35 33 86,www.les-artpenteurs.com,Gratuit – inscription obligatoire,,69008,Lyon,,
45.75793160000001,4.825008899999999,Rhone,Mémoires Croisées de la guerre d’Algérie,Histoire coloniale,"Exposition, Conférence, Table ronde",Mar 24 nov,Semaine du 23 novembre,19h,Maison des Passages,"Coup de Soleil Auvergne Rhône-Alpes, ONACVG",coupdesoleilra@gmail.com,www.coupdesoleil-rhonealpes.fr www.onac-vg.fr,Gratuit - réservation obligatoire,44 rue Saint Georges,69005,Lyon,,
45.7766796,4.8314674,Rhone,"A LUA PLATZ, de Jérémy Gravayat",Habitat,"Projection, Débat",Mer 25 nov,Semaine du 23 novembre,20h30,Aquarium Ciné-Café,L’Aquarium Ciné-Café et Toiles du Doc,aquarium.programmation@gmail.com,aquarium-cine-cafe.fr,5 € (réduit) / 7 € (plein),10 rue Dumont,69004,Lyon,,
45.7638961,4.8537452,Rhone,Médias et Migration: (quelles) représentations des personnes migrantes?,"Discriminations, Hospitallité","Conférence, Table ronde participative",Mer 25 nov,Semaine du 23 novembre,De 9h à 20h,Lyon Urban Data,IREX-EUROPE,cmartin@irexeurope.eu – vpalamarciuc@irexeurope.eu,www.speak-up-eu.com,Gratuit sur réservation,145 Cours Lafayette,69006,Lyon,,
45.7570783,4.835109399999999,Rhone,Terres Mères,"Expression artistique des personnes migrantes, Santé Mentale",Théâtre,Mer 25 nov,Semaine du 23 novembre,20h30,Théâtre des Marronniers,"Théâtre des Marronniers, Le Chantier Collectif",,www.Théâtre-des-marronniers.com,Gratuit,7 rue des Marronniers,69002,Lyon,,
45.7598334,4.8837963,Rhone,"Mi / parcours , la parole aux enfants","Hospitalité, Expression artistique des personnes migrantes","Théâtre, Jeune public",Jeu 26 nov,Semaine du 23 novembre,18h30,Le Rize,"Interquartier Mémoires et patrimoines, collectif d’habitants",Accueil renseignements : 04 37 57 17 17,lerize.villeurbanne.fr,Entrée libre sur réservation,23 Rue Valentin Hauy,69100,Villeurbanne,,
45.76775,4.8179639,Rhone,MINEN KOLOTIRI - sculpter le droit par le droit,"Expression artistique des personnes migrantes, Discriminations, Luttes","Danse, Performance, Création",Jeu 26 nov et ven 27 nov,Semaine du 23 novembre,20h,Les Subs,"SUBS, Lieu vivant d’expériences artistiques, Lyon, dans le cadre de l’appel à projet Geyser avec le Grütli, Genève. Mentorat artistique de Yan Duyvendak",04 78 39 10 02 – contact@les-subs.com,www.les-subs.com,5 € / 10 €,8bis Quai Saint-Vincent,69001,Lyon,,
45.6970715,4.8693538,Rhone,Elles nous racontent leurs Minguettes,Quartiers populaires,"Exposition, Projection",Ven 27 nov,Semaine du 23 novembre,"17h30 vernissage, 19h Projection",Cinéma Gérard Philippe,"Le Cinéma Gérard Philippe, Centre Associatif Boris Vian (CABV), GPV",04 78 70 19 78,,Gratuit – réservation conseillée,12 av. Jean-Cagne,69200,Venissieux,,
45.75793160000001,4.825008899999999,Rhone,Soirée syrienne avec Wejdan Nassif,"Expression artistique des personnes migrantes, Hospitalité, Santé Mentale",Rencontre,Ven 27 nov,Semaine du 23 novembre,19h30,Maison des Passages,"ALWANE, association de soutien aux enfants syriens",alwanelyon@gmail.com – 06 27 45 54 84,www.alwane.org,7 € / 10 €,44 rue Saint Georges,69005,Lyon,,
,,,Quel rôle des villes européennes dans l’accueil des populations migrantes ?,Hospitalité,Table ronde,Ven 27 nov,Semaine du 23 novembre,18h,,"Aisling Healy, Anouk Flamant et Aude-Claire Fourot","Aisling Healy, aisling.healy@univ-st-etienne.fr, Aude-Claire Fourot, afourot@sfu.ca, Anouk Flamant, anouk.flamant@inshea.fr",www.urbanisme-puca.gouv.fr/villes-et-reseaux-de-villes-face-a-la-question-a1219.html,Entrée libre (sur inscription),,,,,
45.780743,4.912227000000001,Rhone,Le café des langues,"Expression artistique des personnes migrantes, Langues",Théâtre participatif,Sam 28 nov,Semaine du 23 novembre,16h,Salle Polyvalente Municipale Victor JARA,Les arTpenteurs et le réseau de lecture publique de Vaulx-en-Velin,contact@les-artpenteurs.com – 04 78 35 33 86,www.les-artpenteurs.com,Gratuit – réservation conseillée,Rue Jean Lesire,69120,Vaulx-en-Velin,,
,,,Week end de Rencontres « La Manufacturette »,Hospitalité,Conférence,Sam 28 et dim 29 nov,Semaine du 23 novembre,,,association la Manufacturette,contact@la-manufacturette.org / 06 83 72 29 76,www.la-manufacturette.co,Gratuit,,,,,
45.6588703,4.5645669,Rhone,PAROLES D’EXIL,"Expression artistique des personnes migrantes, Interculturalité","Concert, Littérature, Poésie",Dim 29 nov,Semaine du 23 novembre,15h,Petite salle des fêtes,l’Association d’accueil COLAMIRE (Accueil Migrants Réfugiés Saint-Martin-en-Haut),colamire@yahoo.com,,Participation libre,Place du Plon,69850,Saint-Martin-en-Haut,,
45.7597312,4.8828626,Rhone,Les indépendances : 35 ans de décolonisations françaises (1943-1977),Histoire coloniale,Exposition,Lun 30 nov au lun 14 déc,"Semaine du 30 novembre, Semaine du 07 décembre, Semaine du 14 décembre",,"Théâtre National Populaire, dans le cadre de l’accueil du spectacle « Et le cœur fume encore » d’Alice carré et Margaux Ezkenazi","Théâtre National Populaire, dans le cadre de l’accueil du spectacle « Et le cœur fume encore » d’Alice carré et Margaux Ezkenazi",,,Gratuit,3 rue Valentin Haüy,69100,Villeurbanne,,
,,Rhone,"Guerre d’Algérie, comment raconter les mémoires ?",Histoire coloniale,"Conférence, Table ronde",Lun 30 nov,Semaine du 30 novembre,18h30,"Université Jean Moulin, Lyon 3 – La manufacture des tabacs",TNP,j.kahn@tnp-villeurbanne.com,www.tnp-villeurbanne.com,Gratuit,,,,,
45.7598334,4.8837963,Rhone,Vers une citoyenneté de résidence ?,Hospitalité,"Conférence, Table ronde, Atelier, Formation",Mar 1 déc,Semaine du 30 novembre,18h,Le Rize,CCO Jean-Pierre Lachaize et la Ville de Villeurbanne,"Nathalie TIBOLLA - CCO : vieassociative@cco-villeurbanne.org, Lison Leneveler : lison.leneveler@mairie-villeurbanne.fr",lerize.villeurbanne.fr,Gratuit sur réservation,23 Rue Valentin Haüy,69100,Villeurbanne,,
45.698783,4.8844034,Rhone,Poésie au delà des Frontière(s),,"Exposition, Danse, Performance",Mar 1 déc,Semaine du 30 novembre,19h,Espace Pandora,l'Espace Pandora,mediationculturelle@espacepandora.org,espacepandora.org,Gratuit,8 place de la Paix,69200,Vénissieux,,
45.7640568,4.827593999999999,Rhone,Les Pionniers Africains de Lyon ,Histoire coloniale,Projection,Jeu 3 déc,Semaine du 30 novembre,19h,Musées Gadagne,"APASHES, Africa 50 et le Musée Gadagne",,www.gadagne.musees.lyon.fr,Gratuit,1 Place du Petit Collège,69005,Lyon,,
45.7518566,4.841453599999999,Rhone,"Ne plus raser les murs, Tillandsia","Travail, Habitat, Luttes","Exposition, Rencontre",Sam 5 déc,Semaine du 30 novembre,18h,,Tillandsia,tillandsia.prod@gmail.com,www.tillandsia-video.com,Gratuit - adhésion gratuite au lieu,45 rue Bechevelin,69007,Lyon,,
45.7762216,4.8349595,Rhone,Chems,Expression artistique des personnes migrantes,Concert,Sam 5 et Dim 6 déc,Semaine du 30 novembre,20h,Agend’arts,Karakib et Agend’arts,09 51 62 58 77 – agendartshorslesmurs@free.fr,www.karakib.org/artistes/chems,8 € / 10 € (gratuit moins de 12 ans),4 rue de Belfort,69004,Lyon,,
,,Auvergne,Festival Saveurs Sans Frontières – 2ème édition,"Hospitalité, Interculturalité",Festival,Mer 7 oct au sam 24 oct,"Semaine du 05 octobre, Semaine du 12 octobre, Semaine du 19 octobre",,,l'Association A.N.I.S Etoilé,04 73 14 14 13 – contact@anisetoile.org,anisetoile.wixsite.com/saveursansfrontieres,,,,,,
45.7792104,3.0688017,Auvergne,"“Nous et les autres, des préjugés au racisme.”",Discriminations,"Exposition, Conférence, Table ronde",Mer 7 oct au sam 2 janv,"Semaine du 05 octobre, Semaine du 12 octobre, Semaine du 19 octobre, Semaine du 26 octobre, Semaine du 02 novembre, Semaine du 09 novembre, Semaine du 16 novembre, Semaine du 23 novembre, Semaine du 30 novembre, Semaine du 07 décembre, Semaine du 14 décembre, Semaine du 21 décembre, Semaine du 28 décembre",,"Musée de la Résistance, de l’Internement et de la Déportation","Musée de la Résistance, de l’Internement et de la Déportation de Clermont Auvergne Métropole",musee.resistance@clermontmetropole.eu,,3 € / 2 €,7 place Beaulieu,63400,Chamalières,,
45.77722199999999,3.087025,Auvergne,Quinzaine de l’intégration,Hospitalité,"Forum, Projection, Conférence, Table ronde, Visite",Ven 9 au ven 16 oct,"Semaine du 05 octobre, Semaine du 12 octobre",,,"La Mairie de Clermont-Ferrand, dans le cadre du Contrat Territorial d’Accueil et d’Intégration des Réfugiés, le Conseil de l’Europe, l’Université Clermont Auvergne",nfel@ville-clermont-ferrand.fr – ccharrade@ville-clermont-ferrand.fr – npiguet@ville-clermont-ferrand.fr,clermont-ferrand.fr,,,,Clermont-Ferrand,,
45.7770428,3.0892234,Auvergne,Histoire … de réfléchir,Discriminations,"Projection, Court-métrage",Mar 13 oct,Semaine du 12 octobre,De 18h à 20h,Centre de documentation la Jetée,"Musée de la Résistance, de l’Internement et de la Déportation de Clermont Auvergne Métropole",04 73 31 28 42 – musee.resistance@clermontmetropole.eu,"www.clermontmetropole.eu",Gratuit,6 Place Michel de l'Hospital,63058,Clermont-Ferrand,,
45.7795763,3.0975992,Auvergne,Exils et solidarité : regards croisés,,Exposition,Mer 14 au ven 16 oct,Semaine du 12 octobre,,Maison Charras,Mairie de Clermont-Ferrand,nfel@ville-clermont-ferrand.fr,,Gratuit,31 avenue Charras,63000,Clermont-Ferrand,,
46.2871189,2.742766,Auvergne,Chorale de l’Arc en Ciel International,Expression artistique des personnes migrantes,Concert,Sam 17 oct,Semaine du 12 octobre,20h,La Pléiade,Collectif Lilananda,Fabien Granier : 0777497088 – Diffusion@lilananda.fr,,Prix libre,Place de la Butte,63000,Commentry,,
,,Auvergne,Lancement de la plateforme MÉMOIRES de Saint-Jacques,Quartiers populaires,Site internet,Octobre 2020,"Semaine du 28 septembre, Semaine du 05 octobre, Semaine du 12 octobre, Semaine du 19 octobre, Semaine du 26 octobre, Semaine du 02 novembre, Semaine du 09 novembre, Semaine du 16 novembre, Semaine du 23 novembre, Semaine du 30 novembre",,AMTA,l'AMTA / Le Damier / Clermont Auvergne Métropole,,www.memoiresaintjacques.fr,,,,,,
45.7809377,3.0836013,Auvergne,“J’aimerais que tu restes”,Travail,"Projection, Débat",Dim 8 nov,Semaine du 02 novembre,17h30,Café-Lecture Les Augustes,Café-Lecture Les Augustes,animation.lesaugustes@gmail.com,cafelesaugustes.fr,Gratuit,5 rue sous les Augustins,63000,Clermont-Ferrand,,
45.7746413,3.0840718,Auvergne,« Protéger les enfants et leurs droits ,Droits de l’enfant,Exposition,Mar 17 nov au sam 5 déc,"Semaine du 16 novembre, Semaine du 23 novembre, Semaine du 30 novembre",Aux heures d’ouverture de la médiathèque,Médiathèque de Jaude,"Médiathèque de Jaude (Clermont Métropole, La Cimade)",bibliotheque.jaude@clermontmetropole.eu.,,Gratuit,9 place Aragon,63000,Clermont Ferrand,,
45.7746413,3.0840718,Auvergne,Cafés Français Langues Etrangères (FLE),Langues,"Atelier, Formation
",Sam 21 et 28 nov,"Semaine du 16 novembre, Semaine du 23 novembre",De 15h à 17h,Médiathèque de Jaude,"La Médiathèque de Jaude (Clermont Métropole), La Cimade",bibliotheque.jaude@clermontmetropole.eu,,,9 place Aragon,63000,Clermont Ferrand,,
45.643476,3.243412,Auvergne,Atlantique ,Frontières,"Projection, Débat",Lun 23 nov,Semaine du 23 novembre,20h30,Halle du jeu de Paume,Ciné Parc / CLéS / Les Amis de la Comté Républicaine,"Ciné Parc : 04 73 95 58 00, Ida Legagneur, CLéS : 07 50 85 45 30",www.cineparc.fr – www.cles-asso.fr,"5,50 € / 3,50 €",,,Vic-le-Comte,,
