Latitude,Longitude,Departement,Titre,Thematique,Forme,Dates,Semaine du,Horaire,Lieu,Organisateurs,Informations,Lien,Site structure,Prix,Adresse,Code postal,Ville,Full Address,Description
44.895927,4.646171,Drôme / Ardèche,Rencontres sans frontières,Expression artistique des personnes migrantes,"Festival multiculturel, Autre","Sam 10, dim 11 et sam 17 et dim 18 oct","Semaine du 05 octobre, Semaine du 12 octobre",,Salle du Lac,"L'Embarqu'café, café associatif","embarqucafe@gmail.com, yasmina.abiles@orange.fr  –04 75 58 28 34",http://traces-migrations.org/2020/09/10/drome-1010-rencontres/,embarqucafe.wordpress.com,"Concerts : 10 € / 5 €, gratuité -15 ans, Projections : 5 € / 3 € - 14 ans",,07240,Vernoux en Vivarais, 07240 Vernoux en Vivarais ,"Imaginez un rendez-vous multiculturel, joyeux, sur la thématique de l'exil ! Pourquoi ? Mais parce que vivre ensemble, ça s'apprend. Il y a la réalité, les croyances, les questionnements... Et puis il y a les rêves, les envies, les actes, pour un futur meilleur et joyeux. Au rendez-vous : un espace associatif, restauration, projections de longs et courts métrages, des expositions de sérigraphies, peintures, textes, des concerts de “Imaz'Elia” et “Voix des artistes sans frontières de Lyon” ainsi qu’une conférence sur les ""Enjeux et réalités des migrations internationales”... Programme complet sur : embarqucafe.wordpress.com"
45.7618326,4.910877,Rhone,"Villeurbanne la cosmopolite, histoire des migrations",Hospitalité,Visite commentée,Dim 11 oct,Semaine du 05 octobre,14h,"Cimetière Nouveau de Cusset","Chantal Jane Buisson Historienne, guide culturelle et auteure",RDV devant l'entrée principale.,http://traces-migrations.org/2020/09/10/rhone1011cosmopolite/,,Gratuit,192 rue Léon Blum,69100,Villeurbanne,192 rue Léon Blum 69100 Villeurbanne ,"Ce cimetière ouvrit le 1er septembre 1929. Sa particularité est d'héberger des migrants ou des descendants de migrants du monde entier venus en quête de pain et de liberté. Ils ont choisi de rester villeurbannais pour toujours dans le respect de leurs traditions funéraires. Chaque participant.e à la visite recevra un exemplaire de l'ouvrage ""Les cimetières de Villeurbanne Personnages illustres et tombes remarquables"" édité par la Ville de Villeurbanne."
45.7555924,4.8456701,Rhone,« Corps en Grève »,"Travail, Luttes","Rencontre, Exposition","Mar 10 nov, (expo du 12 oct au 10 nov)","Semaine du 12 octobre, Semaine du 19 octobre, Semaine du 26 octobre, Semaine du 02 novembre, Semaine du 09 novembre",17h,Centre Social Bonnefoi,Centre Social Bonnefoi,culture@csbonnefoi.fr,http://traces-migrations.org/2020/09/10/rhone1110bonnefoi/,www.csbonnefoi.fr,Gratuit,5 rue Bonnefoi,69003,Lyon,5 rue Bonnefoi 69003 Lyon ,"Lyon, mars 1973. Le bidonville de Feyzin est menacé de fermeture. La majorité de ses habitants sont des travailleurs tunisiens “sans-papiers”. 27 d'entre eux entament une grève de la faim pour tenter d'obtenir une régularisation. La bande dessinée « Corps en Grève » retrace cette lutte. Exposition des planches de la BD et rencontre avec les autrices, Valentine Boucq et Amandine Wadre Puntous."
45.775232,4.818003099999999,Rhone,« Migrations en Revues »,,"Forum des revues, Conférence, Table ronde, Autre",Mar 13 oct,Semaine du 12 octobre,De 17h à 22h,Villa Gillet,Villa Gillet et la revue Écarts d'Identité,,http://traces-migrations.org/2020/09/10/rhone1013villa/,www.villagillet.net,Gratuit sur réservation,25 Rue Chazière,69004,Lyon,25 Rue Chazière 69004 Lyon ,"À l'occasion du renouvellement de la revue Écarts d'Identité, créée en 1992, aujourd'hui constituée en association, une dizaine de revues vous seront présentées à partir de 17h.Ce sera aussi l'occasion d'un échange à 19h avec les revues De(s)générations, Rhizome et André Chabin, fondateur du Salon de la revue (Ent'revues), autour du rôle critique des revues sur les enjeux migratoires dans le contexte de la globalisation."
45.7770563,3.089372500000001,Auvergne,Histoire … de réfléchir,Discriminations,"Projection, Court-métrage",Mar 13 oct,Semaine du 12 octobre,De 18h à 20h,Centre de documentation la Jetée,"Musée de la Résistance, de l’Internement et de la Déportation de Clermont Auvergne Métropole",04 73 31 28 42 – musee.resistance@clermontmetropole.eu,http://traces-migrations.org/2020/09/11/auv1013jetee/,"www.clermontmetropole.eu",Gratuit,6 Place Michel de l'Hospital,63058,Clermont-Ferrand,6 Place Michel de l'Hospital 63058 Clermont-Ferrand ,"Dans le cadre de l’exposition « Nous et les autres, des préjugés au racisme » présentée au musée de la Résistance, celui-ci organise une diffusion de courts-métrages ayant pour thématique l’intolérance (racisme, antisémitisme, homophobie etc.) en partenariat avec l’association Sauve-qui-peut-le Court Métrage et le centre de documentation la Jetée. (A partir de 14 ans"
45.7795763,3.0975992,Auvergne,Exils et solidarité : regards croisés,,Exposition,Mer 14 au ven 16 oct,Semaine du 12 octobre,,Maison Charras,Mairie de Clermont-Ferrand,nfel@ville-clermont-ferrand.fr,http://traces-migrations.org/2020/09/11/auv1014charras/,,Gratuit,31 avenue Charras,63000,Clermont-Ferrand,31 avenue Charras 63000 Clermont-Ferrand ,"En immersion au sein de Emmaüs CADA Bussières et Pruns, la carnettiste Aurélie Calmet s’appuyant sur les récits de vie des résidents porte un témoignage poignant sur leur parcours. Elle met en lumière l’exil du point de vue des demandeurs d’asile et des personnes réfugiées, mais aussi des personnes qui les accompagnent. Cette exposition a été co-construite avec eux."
45.7451126,4.8478314,Rhone,« Les Pionniers Africains de Lyon »,Histoire coloniale,Projection,Jeu 15 oct,Semaine du 12 octobre,19h30,MJC Jean Macé,"Alexandre Bonche et la MJC Jean Macé, en partenariat avec Collectif Africa 50",,http://traces-migrations.org/2020/09/10/rhone1015pionniers/,www.mjcjeanmace.com,Prix libre,38 rue Camille Roy,69007,Lyon,38 rue Camille Roy 69007 Lyon ,"Nés subsahariens dans les années 1940, ils ont étudié « à l’école des Blancs ». Ils portent le sang de leurs pères, glorieux soldats de France. Après les Indépendances rêvées, ces activistes pleins d’espoir gagnent la Métropole, luttent pour une Afrique unie (FEANF) et militent pour la Fraternité entre les peuples. Ils sont les Tantines et Tontons de Lyon, doyens de leurs communautés, voyageurs entre les mondes. Projection suivie d’une rencontre avec le réalisateur Alexandre Bonche et des protagonistes du film."
45.4333477,4.3801312,Loire,XXe anniversaire du réseau Traces,20 ans du réseau Traces,"Emission radio, Autre",Jeu 15 oct,Semaine du 12 octobre,De 15h à 17h,Amicale Laïque de Beaubrun,"Radio Ondaine, Radio Dio, Amicale Laïque de Beaubrun et le Réseau Traces",,http://traces-migrations.org/2020/09/11/loire-1015-20ans/,"A écouter sur Radio Dio 89.5 fm ou www.radio-dio.org , Radio Ondaine 90.9 fm et www.radio-ondaine.fr.",Gratuit,14 Rue Claude Deverchère,42000,Saint-Etienne,14 Rue Claude Deverchère 42000 Saint-Etienne ,"Radio Ondaine et Radio Dio, deux radios associatives de la Loire, proposent une émission spéciale dédiée au 20e anniversaire du réseau Traces et de sa biennale. À travers le portrait de quelques-uns des acteurs qui l'animent, nous partagerons ses questionnements et ses enjeux, depuis la fin des années 90 jusqu'à aujourd'hui. Nous réfléchirons à l'évolution du réseau dans ses choix, son fonctionnement et dans la constitution même du collectif d'acteurs, de personnes et de structures qui le composent. Enregistrement public de l'émission.L'émission sera disponible sur le site de la fédération des radios associatives non-commerciales d'Auvergne-Rhône-Alpes, AURA FM."
45.4744661,4.5117688,Loire,"« Crise du Covid, le monde d’après… »",,"Conférence, Table ronde",Ven 16 oct,Semaine du 12 octobre,19h30,MJC de Saint-Chamond,"Le Grain, Nouvel Espace Culturel et Citoyen / MJC de Saint-Chamond",,http://traces-migrations.org/2020/09/11/loire-1016-covid/,https://mjcstchamond.fr/plaquette-necc-2019-2020/,,2 avenue de la Libération,42400,Saint-Chamond,2 avenue de la Libération 42400 Saint-Chamond ,"Quelques semaines ont suffi pour que le Covid-19 provoque l'effondrement de l’économie mondiale, poussant les gouvernements à prendre des mesures extraordinaires de soutien aux entreprises... Si cette crise révèle les inégalités et les fragilités économiques, sociales et politiques d’un monde basé sur une production intensive, elle révèle aussi, au sein des quartiers populaires, de fortes solidarités."
45.8163391,4.9024652,Rhone,"CARTE DE SÉJOUR et RACHID TAHA, de Rillieux-la-Pape au succès international !  - VENDREDI 16 OCTOBRE",Expression artistique des personnes migrantes,"Concert, Exposition, Conférence, Table ronde",Ven 16 oct,Semaine du 12 octobre,18h,Au Studio CCNR,"Mairie de Rillieux-la-Pape, dans le cadre de Soif de République, en collaboration avec le réseau Traces et les acteurs culturels de la ville",,http://traces-migrations.org/2020/09/10/rhone1017rillieux/,,"Entrée gratuite, réservation obligatoire",2 allée Colette,69140,Rillieux-la-Pape,2 allée Colette 69140 Rillieux-la-Pape ,"« Rachid Taha et son groupe Carte de séjour entrent en scène, frappent fort et mettent un peu de sel, presque sans le vouloir, sur la plaie restée à vif de la guerre d’Algérie, qu’on nommait “événements” et à laquelle mon père prit part quand il avait vingt ans. J’habite à Rillieux-la-Pape, sur les hauteurs de Lyon et assiste à la naissance du groupe dans cette même banlieue. Le terrain est prêt pour que je ne rate pas ce feu qui bientôt embrasera tout. »"
45.8217874,4.9097718,Rhone,"CARTE DE SÉJOUR et RACHID TAHA, de Rillieux-la-Pape au succès international !  - SAMEDI 17 OCTOBRE",Expression artistique des personnes migrantes,"Concert, Exposition, Conférence, Table ronde",Sam 17 oct,Semaine du 12 octobre,18h,Espace 140,,,http://traces-migrations.org/2020/09/10/rhone1017rillieux/,,"Entrée gratuite, réservation obligatoire",Rue d'Athènes,69140,Rillieux-la-Pape,Rue d'Athènes 69140 Rillieux-la-Pape ,"8 groupes rilliards interpréteront une ou plusieurs chansons de Carte de séjour ou Rachid Taha, ou un morceau qu'ils auront créé (composition, reprise dans différents courants musicaux, de la chanson au rap) en résonance avec l’esprit de ce que furent ces inventeurs du « rock arabe made in France ».La soirée sera enregistrée et fera ensuite l'objet d'un disque."
45.7677997,4.8875907,Rhone,"Chaaba, du Bled au bidonville","Habitat, Histoire coloniale",Projection,Sam 17 oct,Semaine du 12 octobre,15h,Centre culturel et de la vie associative (CCVA),,04 78 79 26 16,http://traces-migrations.org/2020/09/10/rhone1017chaaba/,,,234 Cours Émile Zola,69100,Villeurbanne,234 Cours Émile Zola 69100 Villeurbanne ,"Dans le dialecte sétifien, le mot ""Chaâba"" signifie ""endroit perdu, trou, nulle part..."" Cela a aussi été le lieu de vie de 1949 à 1967 d'une trentaine de familles algériennes venues en France pour travailler et participer à la reconstruction du pays. Le documentaire retrace au travers de témoignages l'histoire de ces familles implantées dans un bidonville à Villeurbanne pour offrir un avenir meilleur à leurs enfants."
46.2871189,2.742766,Auvergne,Chorale de l’Arc en Ciel International,Expression artistique des personnes migrantes,Concert,Sam 17 oct,Semaine du 12 octobre,20h,La Pléiade,Collectif Lilananda,Fabien Granier : 0777497088 – Diffusion@lilananda.fr,http://traces-migrations.org/2020/09/11/auv1017chorale/,,Prix libre,Place de la Butte,63000,Commentry,Place de la Butte 63000 Commentry ,"« Attention, la Chorale de l’arc en ciel dissimule des guerrières. Elles chantent la joie, l’exil et la famille. Elles disent l’impossible là-bas, les luttes quotidiennes et chacun de leurs choix résonne pour toutes. Le rythme trépidant efface les douleurs, l’apparente douceur contient leur force. Et quand elles moquent, c’est qu’elles aiment. Leurs chansons vous envoient ailleurs, c’est pour mieux vous clamer l’ici. » Catherine Thoyer"
45.1530815,5.3190691,Isère,"Horizon Légende, Pauline Guillerm",,Exposition,Sam 17 oct,Semaine du 12 octobre,18h30,Médiathèque de Saint-Marcellin,Médiathèque intercommunale de Saint Marcellin,04 76 38 02 91,http://traces-migrations.org/2020/09/10/isere-1017-saint-marcellin/,www.bibliotheques.saintmarcellin-vercors-isere.fr,Gratuit,1 Boulevard du Champ de Mars,38160,Saint-Marcellin,1 Boulevard du Champ de Mars 38160 Saint-Marcellin ,"“Horizon légende” raconte le passage d'un littoral à un autre par le jeune Elijah. Il vient du hameau du bout du fleuve perdu dans la mangrove. Il y pêche la crevette. Et puis un jour, il n'a plus le choix, il doit partir. S'enclenche alors une machine infernale ; Elijah est renvoyé d’institution en institution. Un parcours semé d'embûches jusqu'à respirer à nouveau l'air de la mer et dormir. Un texte écrit et lu par Pauline Guillerm."
45.7676905,4.8353706,Rhone,Le 17 octobre 1961,Histoire coloniale,"Projection, Conférence, Table ronde",Sam 17 oct,Semaine du 12 octobre,17h,Opéra Underground,l'Opéra Underground,contact@opera-underground.com,http://traces-migrations.org/2020/09/10/rhone1017ou/,www.opera-underground.com,Gratuit dans la limite des places disponibles.,1 place de la Comédie,69001,Lyon,1 place de la Comédie 69001 Lyon ,"Paris, 17 octobre 1961 : 30 000 Algériens manifestent pacifiquement contre le couvre-feu qui leur a été imposé. La répression, d’une violence inouïe, fait des dizaines de morts : un massacre dont la mémoire sera occultée pendant des décennies. C’est cette “énigme”, selon le mot de Pierre-Vidal Naquet, qui est réinterrogée ici à travers la projection du documentaire Octobre à Paris (1962), suivie d’une table ronde rassemblant Samia Messaoudi (journaliste, association ""Au nom de la Mémoire”), Mehdi Lallaoui (Collectif 17 octobre 1961), Gilles Manceron (historien, Ligue des Droits de l'Homme) - Modération : Noria Haddadi (Coup de Soleil, Médiathèque de Vaise, Dérives)."
45.4333477,4.3801312,Loire,Salon du livre : Littérature & migrations ,Expression artistique des personnes migrantes,"Rencontre littéraire, Littérature",Sam 17 oct,Semaine du 12 octobre,De 14h à 19h suivi d’une soirée festive,Amicale Laïque de Beaubrun,Amicale Laïque de Beaubrun et le réseau Traces,Nadim Ghodbane 0610847940,http://traces-migrations.org/2020/09/11/loire-1017-beaubrun/,,Gratuit,14 Rue Claude Deverchère,42000,Saint-Etienne,14 Rue Claude Deverchère 42000 Saint-Etienne ,"À travers une sélection mêlant récits de vie, témoignages, analyse socio-politique et historique, cette programmation met à l'honneur plusieurs auteurs romanciers, bédéistes et chercheurs. Avec Fatima Ouassak, Valentine Boucq, Amandine Wadre Puntous, Kamel Mouellef, Farid Taalba, Nadim Ghodbane et Abdellatif Chaouite (revue Écarts d'identité). Ils nous embarquent dans l'histoire et le présent de l'immigration, où des figures d’hommes et de femmes gagnées par l'esprit de solidarité, de l’engagement, luttent ensemble pour leur dignité."
45.761685,4.8859622,Rhone,Trajectoires croisées,"Hospitalité",Théâtre,Sam 17 oct,Semaine du 12 octobre,18h30,La Balise 46 - MJC de Villeurbanne,LA Balise 46 - MJC de Villeurbanne & Centre social Cusset,"04 78 84 84 83 – contact@mjc-villeurbanne.org",http://traces-migrations.org/2020/09/10/rhone1017mjc/,www.mjc-villeurbanne.org,7 € - Réservation recommandée,46 Cours du Dr Jean Damidot,69100,Lyon,46 Cours du Dr Jean Damidot 69100 Lyon ,"18h - World café – « Agir, mais comment ? » en présence d’associations. 19h30 - « Mathias ou l'itinéraire d'un enfant paumé » : Lecture théâtralisée, Cie La nouvelle Fabrique. 20h15 - « Le droit à l’erreur » : théâtre, Cie Waninga. Projection en continu du Vidéomaton - trajectoires d’habitant.e.s."
45.8180012,4.9026743,Rhone,"CARTE DE SÉJOUR et RACHID TAHA, de Rillieux-la-Pape au succès international !  - DIMANCHE 18 OCTOBRE",Expression artistique des personnes migrantes,"Concert, Exposition, Conférence, Table ronde",Dim 18 oct,Semaine du 12 octobre,18h30,CinéRillieux,,,http://traces-migrations.org/2020/09/10/rhone1017rillieux/,,5,81 bis Avenue de l'Europe,69140,Rillieux-la-Pape,81 bis Avenue de l'Europe 69140 Rillieux-la-Pape ,"Documentaire de Farid Haroud (2019, France, 52 minutes).« La France de Rachid Taha » se raconte comme un voyage.  Le voyage d’un jeune immigré maghrébin des années 70 promis  à une vie d’ouvrier mais qui a construit une existence d’artiste  majeur, mondialement reconnu. Avec lui, on va ainsi voyager  un peu partout, dans Lyon, la ville qui l’a vu se construire avec  le groupe « Carte de séjour », mais aussi à Paris, à Londres  et ailleurs. Sa « Douce France », empruntée à Charles Trenet,  baignera nos rencontres avec ceux qui l’ont connu et avec ceux qu’il a inspirés.En présence de la Famille Taha, du réalisateur, de Philippe Hanus et des élus pour un temps d'échange / discussion à l'issue de la projection."
45.770568,4.874349,Rhone,« Il Mio Corpo »,Santé mentale,"Projection, Débat",Lun 19 oct,Semaine du 19 octobre,20h30,Cinéma le Zola,le Cinéma Le Zola,evenements@lezola.com,http://traces-migrations.org/2020/09/10/rhone1019zola/,www.lezola.com,"5,80 € / 6,80 €",117 cours Emile Zola,69100,Villeurbanne,117 cours Emile Zola 69100 Villeurbanne ,"Sous le soleil de Sicile, Oscar récupère de la ferraille avec son père. À l’autre bout de la ville, Stanley le Nigérian vivote grâce aux petits travaux donnés par le prêtre de la paroisse. Tous deux ont le même désir, celui d’une vie meilleure...Le cinéaste a choisi le centre de la Sicile comme un miroir de l'Europe, pour nous raconter le destin de ceux qui mènent une vie décidée par d'autres. Discussion en présence du réalisateur Michele Penetta et d’intervenants de l’Orspere-Samdarra et Forum Réfugiés."
45.7499519,4.8577064,Rhone,« Trait d’union »,,Exposition,Lun 19 au sam 31 oct,"Semaine du 19 octobre, Semaine du 26 octobre",De 9h à 12h ; de 14h30 à 19h (visites guidées sur réservation) ,Carrefour des Cultures Africaines,Carrefour des Cultures Africaines (C.C.A),04 78 58 45 70 – 07 68 41 25 64 – secretaire.cca@gmail.com,http://traces-migrations.org/2020/09/10/rhone1019aca/,www.carrefourculturesafricaines.org,,150 Cours Gambetta,69007,Lyon,150 Cours Gambetta 69007 Lyon ,"L’objectif de l’exposition est d’appréhender les cultures africaines avec des yeux métissés, des regards croisés. Les masques exposés : Gèlèdé des yorubas du Nigeria, du Bénin, du Togo et les statues de la côte d’Ivoire et du Congo, aident à comprendre la rencontre possible entre les peuples africains et d’autres peuples du monde en convoquant la mémoire des migrations."
46.2117355,5.320730699999999,Ain,Objets Communs,,,Mar 20 au sam 31 oct,"Semaine du 19 octobre, Semaine du 26 octobre",,,,,http://traces-migrations.org/2020/09/11/ain-1020-objets/,,,100 Route de Bourg-en-Bresse,01370,Saint-Etienne du Bois,100 Route de Bourg-en-Bresse 01370 Saint-Etienne du Bois ,"Suite aux rencontres entre les patoisants de Saint-Étienne-du-Bois et les femmes du groupe Atelec en apprentissage du français, Serge Sana et Xavier Saïki, artistes du Concert Sous La Langue, créent un parcours sonore insolite au cœur de l’écomusée. Témoignages et échanges enregistrés nous parlent d’une culture commune liée à ces objets d’hier et d’aujourd’hui, d’ici et d’ailleurs."
